,altitude
655.0,20.229942321777344
656.0,26.85355567932129
657.0,33.4987907409668
658.0,34.06295394897461
659.0,31.909252166748047
660.0,28.707714080810547
661.0,28.340782165527344
662.0,29.483776092529297
663.0,31.154348373413086
664.0,31.766447067260742
665.0,32.320350646972656
666.0,35.58794021606445
667.0,38.52800369262695
668.0,39.91975021362305
669.0,47.2444953918457
670.0,52.5737190246582
671.0,55.45549392700195
672.0,66.74588012695312
673.0,85.26820373535156
674.0,96.96609497070312
675.0,111.162353515625
676.0,113.62073516845703
677.0,102.02790069580078
678.0,93.58781433105469
679.0,82.85330963134766
680.0,77.13182067871094
681.0,81.39805603027344
682.0,81.18904113769531
683.0,71.31838989257812
684.0,68.73572540283203
685.0,80.97378540039062
686.0,88.54024505615234
687.0,9.441174507141113
688.0,12.248147964477539
689.0,15.183972358703613
690.0,14.244566917419434
691.0,8.34034252166748
692.0,6.178948879241943
693.0,6.963497638702393
694.0,6.508072853088379
695.0,6.205651760101318
696.0,6.640344619750977
697.0,7.584985733032227
698.0,9.642040252685547
699.0,11.645807266235352
700.0,13.402436256408691
701.0,16.222562789916992
702.0,18.240949630737305
703.0,15.3638277053833
704.0,18.50143051147461
705.0,23.65903663635254
706.0,29.722606658935547
707.0,32.08978271484375
708.0,31.284500122070312
709.0,26.690134048461914
710.0,27.208158493041992
711.0,30.037899017333984
712.0,30.799161911010742
713.0,32.24344253540039
714.0,35.31673812866211
715.0,41.00961685180664
716.0,41.42731475830078
717.0,40.88604736328125
718.0,44.00139236450195
719.0,48.890586853027344
720.0,53.72736358642578
721.0,69.34806060791016
722.0,93.24146270751953
723.0,114.25037384033203
724.0,122.63618469238281
725.0,123.19747924804688
726.0,122.5459213256836
727.0,107.2855224609375
728.0,95.50383758544922
729.0,86.30146026611328
730.0,77.87879180908203
731.0,71.30619812011719
732.0,67.4227294921875
733.0,73.14949798583984
734.0,87.83369445800781
735.0,94.39155578613281
736.0,17.78098487854004
737.0,22.933490753173828
738.0,24.031248092651367
739.0,22.423053741455078
740.0,11.182262420654297
741.0,5.503101348876953
742.0,6.5098185539245605
743.0,8.71486759185791
744.0,6.267262935638428
745.0,9.377387046813965
746.0,7.691662311553955
747.0,10.167908668518066
748.0,13.955110549926758
749.0,12.813974380493164
750.0,14.273696899414062
751.0,16.343385696411133
752.0,17.015628814697266
753.0,20.234905242919922
754.0,25.462636947631836
755.0,27.94780158996582
756.0,30.515207290649414
757.0,30.686128616333008
758.0,28.6987247467041
759.0,27.750410079956055
760.0,32.82896041870117
761.0,32.42247009277344
762.0,36.268924713134766
763.0,41.805091857910156
764.0,47.6223258972168
765.0,46.079505920410156
766.0,43.95380783081055
767.0,42.61832809448242
768.0,52.43914794921875
769.0,66.70230102539062
770.0,81.63444519042969
771.0,100.80343627929688
772.0,115.58787536621094
773.0,129.68243408203125
774.0,130.69007873535156
775.0,134.90184020996094
776.0,126.50010681152344
777.0,110.13788604736328
778.0,97.36412811279297
779.0,79.9953384399414
780.0,72.09320068359375
781.0,67.37039184570312
782.0,77.97048950195312
783.0,90.21002197265625
784.0,93.70458984375
785.0,29.092958450317383
786.0,26.76467514038086
787.0,25.313541412353516
788.0,22.721050262451172
789.0,17.56473731994629
790.0,8.2716703414917
791.0,7.541441917419434
792.0,5.1462321281433105
793.0,5.112973213195801
794.0,5.769735336303711
795.0,6.9182000160217285
796.0,10.70469856262207
797.0,11.179747581481934
798.0,13.907492637634277
799.0,13.874903678894043
800.0,14.447463989257812
801.0,20.338668823242188
802.0,22.863441467285156
803.0,27.760189056396484
804.0,24.937469482421875
805.0,22.96385383605957
806.0,27.67169952392578
807.0,32.71251678466797
808.0,32.54973220825195
809.0,36.80546951293945
810.0,40.6521110534668
811.0,42.04145431518555
812.0,46.89543914794922
813.0,51.99113845825195
814.0,54.55146408081055
815.0,54.677886962890625
816.0,55.523406982421875
817.0,62.08353805541992
818.0,71.25643157958984
819.0,87.09172821044922
820.0,99.4629898071289
821.0,97.71356201171875
822.0,110.92159271240234
823.0,112.14411926269531
824.0,124.92520141601562
825.0,127.55052947998047
826.0,118.86426544189453
827.0,105.77935028076172
828.0,88.26996612548828
829.0,77.10955810546875
830.0,73.93816375732422
831.0,81.35494995117188
832.0,93.86705780029297
833.0,92.82490539550781
834.0,33.350425720214844
835.0,29.974124908447266
836.0,23.444717407226562
837.0,22.620004653930664
838.0,20.193445205688477
839.0,10.691081047058105
840.0,6.32069206237793
841.0,6.2046027183532715
842.0,7.019505023956299
843.0,7.682432174682617
844.0,6.482287883758545
845.0,7.260209083557129
846.0,11.430818557739258
847.0,11.740335464477539
848.0,13.404935836791992
849.0,12.44884204864502
850.0,18.866071701049805
851.0,21.03545379638672
852.0,22.695825576782227
853.0,20.245180130004883
854.0,24.560827255249023
855.0,28.638853073120117
856.0,32.88273620605469
857.0,35.927642822265625
858.0,39.51914978027344
859.0,38.336761474609375
860.0,39.14897537231445
861.0,44.13018035888672
862.0,48.733863830566406
863.0,46.407203674316406
864.0,49.07943344116211
865.0,54.64284896850586
866.0,60.68912124633789
867.0,65.75161743164062
