,broadleaf,needleleaf,C3,C4,shrubs,lake,soil,ice,canyon,roof
16.0,0.0,0.0,0.2551731291787916,0.0,0.0,0.0,0.04783587147254178,0.0,0.527623208778002,0.16936779057066464
17.0,0.0,0.0,0.32430240535951904,0.0,0.0,0.0,0.05506462748097174,0.0,0.4830496218127464,0.1375833453467627
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3916999999999967,0.6083000000000033
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3916999999999967,0.6083000000000033
20.0,0.0,0.0,0.0,0.0,0.0,0.01331347540689368,0.0,0.0,0.4407136151402924,0.545972909452814
21.0,0.0,0.0,0.022016541671156332,0.0,0.0,0.7571486445194683,0.009757230737596535,0.0,0.18461874572936568,0.026458837342413277
22.0,0.0,0.0,0.44456669979250824,0.0,0.0,0.06896314238424443,0.09322052382477365,0.0,0.3297910839063131,0.06345855009216061
23.0,0.0,0.0,0.8568561953147296,0.0,0.0,0.0,0.11062266221431177,0.0,0.031023678290591356,0.0014974641803674124
24.0,0.0,0.0,0.8996128699877964,0.0,0.0,0.0,0.09999990265777917,0.0,0.00037325803919069215,1.396931523371149e-05
25.0,0.0,0.0,0.6740210129600994,0.0,0.0,0.0,0.1116452061292155,0.0,0.18725576298177043,0.02707801792891462
26.0,0.0,0.0,0.24220323031916424,0.0,0.0,0.0,0.1466347396242928,0.0,0.47742728416316915,0.13373474589337386
27.0,0.0,0.0,0.4875751904811994,0.0,0.0,0.0,0.09351102107888695,0.0,0.34927810447361385,0.06963568396629971
28.0,0.0,0.0,0.8991488222389492,0.0,0.0,0.0,0.10000050938226275,0.0,0.0008199022901304465,3.076608865761911e-05
29.0,0.0,0.0,0.8999832312993902,0.0,0.0,0.0,0.09999989375952169,0.0,1.626738834266928e-05,6.075527454725342e-07
30.0,0.0,0.0,0.6948211613347165,0.0,0.0,0.0,0.09999928914622017,0.0,0.17983748291224189,0.025342066606821506
31.0,0.0,0.0,0.4350372736924991,0.0,0.0,0.0,0.09999981260715234,0.0,0.38294182876370253,0.08202108493664606
32.0,0.0,0.0,0.38838442213517305,0.0,0.0,0.0,0.1261395057991463,0.0,0.39732247571651486,0.08815359634916586
33.0,0.0,0.0,0.36062356926461314,0.0,0.0,0.0,0.09015589231615329,0.0,0.4394956208306077,0.10972491758862585
34.0,0.0,0.0,0.3392375507964531,0.0,0.0,0.0,0.07089311994573104,0.0,0.4646456887182221,0.12522364053959378
35.0,0.040117075253308,0.0,0.7643972225086665,0.0,0.0,0.0,0.09874454073477104,0.0,0.08928906301198412,0.007452098491270376
36.0,0.4591129298087768,0.0,0.38684934436377755,0.0,0.0,0.0,0.09999897917927936,0.0,0.051035998953581026,0.0030027476945852574
37.0,0.2886129107103243,0.0,0.4043671516871784,0.0,0.0,0.0,0.10000008381856508,0.0,0.181330032993185,0.02568982079074722
