,x,y,descrip,grid
1,282166.51173875574,5712272.965568794,TL,1200.0
2,282500.2190582827,5712247.71813453,TR,1200.0
3,282474.9767460547,5711914.835150249,BR,1200.0
4,282320.7442424052,5712093.900359522,MID,1200.0
0,282166.51173875574,5712272.965568794,BL,1201.0
1,282191.7540509837,5712605.8485530745,TL,1201.0
2,282525.46137051063,5712580.6011188105,TR,1201.0
3,282500.2190582827,5712247.71813453,BR,1201.0
4,282345.9865546332,5712426.783343802,MID,1201.0
0,282191.7540509837,5712605.8485530745,BL,1202.0
1,282216.99636321166,5712938.731537355,TL,1202.0
2,282550.7036827386,5712913.484103091,TR,1202.0
3,282525.46137051063,5712580.6011188105,BR,1202.0
4,282371.22886686114,5712759.666328083,MID,1202.0
0,282216.99636321166,5712938.731537355,BL,1203.0
1,282242.2386754396,5713271.614521636,TL,1203.0
2,282575.94599496655,5713246.367087372,TR,1203.0
3,282550.7036827386,5712913.484103091,BR,1203.0
4,282396.4711790891,5713092.549312363,MID,1203.0
0,282242.2386754396,5713271.614521636,BL,1204.0
1,282267.4809876676,5713604.497505916,TL,1204.0
2,282601.1883071945,5713579.250071652,TR,1204.0
3,282575.94599496655,5713246.367087372,BR,1204.0
4,282421.71349131706,5713425.432296644,MID,1204.0
0,282267.4809876676,5713604.497505916,BL,1205.0
1,282292.72329989553,5713937.380490197,TL,1205.0
2,282626.43061942246,5713912.133055933,TR,1205.0
3,282601.1883071945,5713579.250071652,BR,1205.0
4,282446.955803545,5713758.315280925,MID,1205.0
0,282292.72329989553,5713937.380490197,BL,1206.0
1,282317.9656121235,5714270.263474477,TL,1206.0
2,282651.6729316504,5714245.016040213,TR,1206.0
3,282626.43061942246,5713912.133055933,BR,1206.0
4,282472.198115773,5714091.198265205,MID,1206.0
0,282317.9656121235,5714270.263474477,BL,1207.0
1,282343.20792435145,5714603.146458758,TL,1207.0
2,282676.9152438784,5714577.899024494,TR,1207.0
3,282651.6729316504,5714245.016040213,BR,1207.0
4,282497.44042800093,5714424.081249486,MID,1207.0
0,282343.20792435145,5714603.146458758,BL,1208.0
1,282368.4502365794,5714936.029443039,TL,1208.0
2,282702.15755610634,5714910.782008775,TR,1208.0
3,282676.9152438784,5714577.899024494,BR,1208.0
4,282522.6827402289,5714756.964233766,MID,1208.0
0,282368.4502365794,5714936.029443039,BL,1209.0
1,282393.69254880736,5715268.912427319,TL,1209.0
2,282727.3998683343,5715243.664993055,TR,1209.0
3,282702.15755610634,5714910.782008775,BR,1209.0
4,282547.92505245685,5715089.847218047,MID,1209.0
0,282393.69254880736,5715268.912427319,BL,1210.0
1,282418.9348610353,5715601.7954116,TL,1210.0
2,282752.64218056225,5715576.547977336,TR,1210.0
3,282727.3998683343,5715243.664993055,BR,1210.0
4,282573.1673646848,5715422.7302023275,MID,1210.0
0,282418.9348610353,5715601.7954116,BL,1211.0
1,282444.1771732633,5715934.67839588,TL,1211.0
2,282777.8844927902,5715909.430961616,TR,1211.0
3,282752.64218056225,5715576.547977336,BR,1211.0
4,282598.40967691276,5715755.613186608,MID,1211.0
0,282444.1771732633,5715934.67839588,BL,1212.0
1,282469.41948549123,5716267.561380161,TL,1212.0
2,282803.12680501817,5716242.313945897,TR,1212.0
3,282777.8844927902,5715909.430961616,BR,1212.0
4,282623.6519891407,5716088.496170889,MID,1212.0
0,282469.41948549123,5716267.561380161,BL,1213.0
1,282494.6617977192,5716600.444364442,TL,1213.0
2,282828.3691172461,5716575.1969301775,TR,1213.0
3,282803.12680501817,5716242.313945897,BR,1213.0
4,282648.8943013687,5716421.379155169,MID,1213.0
0,282494.6617977192,5716600.444364442,BL,1214.0
1,282519.90410994715,5716933.327348722,TL,1214.0
2,282853.6114294741,5716908.079914458,TR,1214.0
3,282828.3691172461,5716575.1969301775,BR,1214.0
4,282674.13661359664,5716754.26213945,MID,1214.0
0,282519.90410994715,5716933.327348722,BL,1215.0
1,282545.1464221751,5717266.210333003,TL,1215.0
2,282878.85374170204,5717240.962898739,TR,1215.0
3,282853.6114294741,5716908.079914458,BR,1215.0
4,282699.3789258246,5717087.14512373,MID,1215.0
0,282545.1464221751,5717266.210333003,BL,1216.0
1,282570.38873440307,5717599.093317283,TL,1216.0
2,282904.09605393,5717573.845883019,TR,1216.0
3,282878.85374170204,5717240.962898739,BR,1216.0
4,282724.62123805255,5717420.028108011,MID,1216.0
0,282570.38873440307,5717599.093317283,BL,1217.0
1,282595.631046631,5717931.976301564,TL,1217.0
2,282929.33836615796,5717906.7288673,TR,1217.0
3,282904.09605393,5717573.845883019,BR,1217.0
4,282749.8635502805,5717752.911092292,MID,1217.0
0,282595.631046631,5717931.976301564,BL,1218.0
1,282620.873358859,5718264.8592858445,TL,1218.0
2,282954.5806783859,5718239.61185158,TR,1218.0
3,282929.33836615796,5717906.7288673,BR,1218.0
4,282775.10586250847,5718085.794076572,MID,1218.0
0,282620.873358859,5718264.8592858445,BL,1219.0
1,282646.11567108694,5718597.742270125,TL,1219.0
2,282979.8229906139,5718572.494835861,TR,1219.0
3,282954.5806783859,5718239.61185158,BR,1219.0
4,282800.3481747364,5718418.677060853,MID,1219.0
0,282646.11567108694,5718597.742270125,BL,1220.0
1,282671.3579833149,5718930.625254406,TL,1220.0
2,283005.06530284183,5718905.377820142,TR,1220.0
3,282979.8229906139,5718572.494835861,BR,1220.0
4,282825.5904869644,5718751.560045133,MID,1220.0
0,282671.3579833149,5718930.625254406,BL,1221.0
1,282696.60029554286,5719263.508238686,TL,1221.0
2,283030.3076150698,5719238.260804422,TR,1221.0
3,283005.06530284183,5718905.377820142,BR,1221.0
4,282850.83279919234,5719084.443029414,MID,1221.0
0,282696.60029554286,5719263.508238686,BL,1222.0
1,282721.8426077708,5719596.391222967,TL,1222.0
2,283055.54992729775,5719571.143788703,TR,1222.0
3,283030.3076150698,5719238.260804422,BR,1222.0
4,282876.0751114203,5719417.3260136945,MID,1222.0
0,282721.8426077708,5719596.391222967,BL,1223.0
1,282747.0849199988,5719929.274207247,TL,1223.0
2,283080.7922395257,5719904.026772983,TR,1223.0
3,283055.54992729775,5719571.143788703,BR,1223.0
4,282901.31742364826,5719750.208997975,MID,1223.0
0,282747.0849199988,5719929.274207247,BL,1224.0
1,282772.32723222673,5720262.157191528,TL,1224.0
2,283106.03455175366,5720236.909757264,TR,1224.0
3,283080.7922395257,5719904.026772983,BR,1224.0
4,282926.5597358762,5720083.091982256,MID,1224.0
0,282772.32723222673,5720262.157191528,BL,1225.0
1,282797.5695444547,5720595.040175809,TL,1225.0
2,283131.2768639816,5720569.792741545,TR,1225.0
3,283106.03455175366,5720236.909757264,BR,1225.0
4,282951.8020481042,5720415.974966536,MID,1225.0
0,281894.4035648117,5704258.526511796,BL,1226.0
1,281919.64587703964,5704591.409496076,TL,1226.0
2,282253.3531965666,5704566.1620618105,TR,1226.0
3,282228.1108843386,5704233.27907753,BR,1226.0
4,282073.87838068913,5704412.344286803,MID,1226.0
0,281919.64587703964,5704591.409496076,BL,1227.0
1,281944.8881892676,5704924.292480357,TL,1227.0
2,282278.59550879453,5704899.045046091,TR,1227.0
3,282253.3531965666,5704566.1620618105,BR,1227.0
4,282099.1206929171,5704745.227271084,MID,1227.0
0,281944.8881892676,5704924.292480357,BL,1228.0
1,281970.13050149556,5705257.175464638,TL,1228.0
2,282303.8378210225,5705231.928030372,TR,1228.0
3,282278.59550879453,5704899.045046091,BR,1228.0
4,282124.36300514505,5705078.110255364,MID,1228.0
0,281970.13050149556,5705257.175464638,BL,1229.0
1,281995.3728137235,5705590.058448918,TL,1229.0
2,282329.08013325045,5705564.811014652,TR,1229.0
3,282303.8378210225,5705231.928030372,BR,1229.0
4,282149.605317373,5705410.993239645,MID,1229.0
0,281995.3728137235,5705590.058448918,BL,1230.0
1,282020.6151259515,5705922.941433199,TL,1230.0
2,282354.3224454784,5705897.693998933,TR,1230.0
3,282329.08013325045,5705564.811014652,BR,1230.0
4,282174.84762960096,5705743.8762239255,MID,1230.0
0,282020.6151259515,5705922.941433199,BL,1231.0
1,282045.85743817943,5706255.824417479,TL,1231.0
2,282379.56475770636,5706230.576983213,TR,1231.0
3,282354.3224454784,5705897.693998933,BR,1231.0
4,282200.0899418289,5706076.759208206,MID,1231.0
0,282045.85743817943,5706255.824417479,BL,1232.0
1,282071.0997504074,5706588.70740176,TL,1232.0
2,282404.8070699343,5706563.459967494,TR,1232.0
